kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-NN.5.sm_62.ptx 660 : 2800 28158 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 659 : 2800 28225 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 658 : 2800 20012 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 657 : 2800 445594 1792 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 656 : 2800 414575 352 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 655 : 2800 28200 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 654 : 2800 28126 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 653 : 2800 28412 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 652 : 2800 20062 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 651 : 2800 401491 0 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 650 : 2800 408085 352 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 649 : 2800 28189 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 648 : 2800 28085 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 647 : 2800 28250 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 646 : 2800 20002 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 645 : 2800 458749 2240 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 644 : 2800 417907 352 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 643 : 2800 28250 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 642 : 2800 28071 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 641 : 2800 28205 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 640 : 2800 20049 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 639 : 2800 401616 0 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 638 : 2800 408580 352 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 637 : 2800 28235 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 636 : 2800 28108 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 635 : 2800 28189 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 634 : 2800 20068 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 633 : 2800 462698 2240 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 632 : 2800 422130 416 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 631 : 2800 28247 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 630 : 2800 28156 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 629 : 2800 28297 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 628 : 2800 20118 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 627 : 2800 403583 0 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 626 : 2800 410372 384 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 625 : 2800 28219 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 624 : 2800 28170 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 623 : 2800 28344 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 622 : 2800 20026 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 621 : 2800 480265 2688 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 620 : 2800 428185 416 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 619 : 2800 28224 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 618 : 2800 28277 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 615 : 280 1931 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 614 : 280 2999 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 613 : 280 1865 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 612 : 280 2911 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 611 : 280 55426 320 0 0 280 280 0 0 
ispass-2009-NN.5.sm_62.ptx 610 : 280 2865 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 609 : 280 2901 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 608 : 280 2213 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 607 : 280 2905 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 606 : 280 1860 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 605 : 280 2022 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 604 : 280 840 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 603 : 280 842 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 602 : 280 841 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 585 : 2800 16855 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 584 : 2800 11361 0 0 0 2800 2800 0 0 
ispass-2009-NN.5.sm_62.ptx 583 : 2800 28177 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 574 : 1885 13278 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 582 : 2800 28088 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 573 : 1885 13347 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 572 : 1885 13280 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 581 : 2800 19716 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 580 : 2800 30962 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 579 : 2800 19723 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 571 : 1885 13331 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 570 : 1885 15188 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 569 : 1885 13288 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 568 : 1885 13272 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 578 : 2800 39743 0 0 0 0 0 0 0 
ispass-2009-NN.5.sm_62.ptx 567 : 1885 13362 0 0 0 0 0 0 0 
