kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
ispass-2009-LPS.5.sm_62.ptx 477 : 19504 200886 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 140 : 12800 137152 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 143 : 12800 87200 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 133 : 5688 28092 0 292 292 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 470 : 250000 2729108 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 465 : 250000 1761204 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 473 : 250000 125149 0 0 0 0 0 0 4704 
ispass-2009-LPS.5.sm_62.ptx 136 : 12800 96544 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 139 : 12800 99360 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 471 : 250000 1997584 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 137 : 12800 0 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 464 : 320000 474768 0 0 0 0 0 0 2500 
ispass-2009-LPS.5.sm_62.ptx 127 : 5688 39012 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 130 : 5688 60343 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 460 : 142200 740716 0 7300 7300 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 459 : 142200 27947155 134752 0 0 39600 7300 0 0 
ispass-2009-LPS.5.sm_62.ptx 125 : 12800 136992 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 458 : 142200 1480216 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 121 : 10000 50296 0 400 400 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 124 : 12800 96224 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 455 : 142200 0 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 118 : 10000 118752 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 454 : 142200 1047398 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 117 : 10000 116664 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 429 : 250000 2544464 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 92 : 12800 94464 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 95 : 12800 93376 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 432 : 250000 0 0 0 0 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 428 : 250000 1146032 0 10000 10000 0 0 0 0 
ispass-2009-LPS.5.sm_62.ptx 94 : 12800 110112 0 0 0 0 0 0 0 
